Entity,Code,Year,plastic
Recycled,,1980,0
Recycled,,1981,0
Recycled,,1982,0
Recycled,,1983,0
Recycled,,1984,0
Recycled,,1985,0
Recycled,,1986,0
Recycled,,1987,0
Recycled,,1988,0.6
Recycled,,1989,1.3
Recycled,,1990,2
Recycled,,1991,2.7
Recycled,,1992,3.4
Recycled,,1993,4.1
Recycled,,1994,4.8
Recycled,,1995,5.5
Recycled,,1996,6.2
Recycled,,1997,6.9
Recycled,,1998,7.6
Recycled,,1999,8.3
Recycled,,2000,9
Recycled,,2001,9.7
Recycled,,2002,10.4
Recycled,,2003,11.1
Recycled,,2004,11.8
Recycled,,2005,12.5
Recycled,,2006,13.2
Recycled,,2007,13.9
Recycled,,2008,14.6
Recycled,,2009,15.3
Recycled,,2010,16
Recycled,,2011,16.7
Recycled,,2012,17.4
Recycled,,2013,18.1
Recycled,,2014,18.8
Recycled,,2015,19.5
